Feature Set,Model,Accuracy,Precision,Recall,F1
uniX,LinearSVC(),0.7024793388429752,0.3305785123966942,0.3305785123966942,0.3305785123966942
uniX,DecisionTreeClassifier(),0.5702479338842975,0.2231404958677686,0.2231404958677686,0.2231404958677686
uniX,LogisticRegression(),0.6446280991735537,0.2892561983471074,0.2892561983471074,0.2892561983471074
biX,LinearSVC(),0.6694214876033058,0.2809917355371901,0.2809917355371901,0.2809917355371901
biX,DecisionTreeClassifier(),0.49586776859504134,0.14049586776859505,0.14049586776859505,0.14049586776859505
biX,LogisticRegression(),0.6363636363636364,0.256198347107438,0.256198347107438,0.256198347107438
behavFeatures,LinearSVC(),0.7520661157024794,0.371900826446281,0.371900826446281,0.371900826446281
behavFeatures,DecisionTreeClassifier(),0.743801652892562,0.36363636363636365,0.36363636363636365,0.36363636363636365
behavFeatures,LogisticRegression(),0.7851239669421488,0.4049586776859504,0.4049586776859504,0.4049586776859504
rstX,LinearSVC(),0.5454545454545454,0.2066115702479339,0.2066115702479339,0.2066115702479339
rstX,DecisionTreeClassifier(),0.4628099173553719,0.09917355371900827,0.09917355371900827,0.09917355371900827
rstX,LogisticRegression(),0.5206611570247934,0.19834710743801653,0.19834710743801653,0.19834710743801653
pdtbX,LinearSVC(),0.4380165289256198,0.256198347107438,0.256198347107438,0.256198347107438
pdtbX,DecisionTreeClassifier(),0.6363636363636364,0.2644628099173554,0.2644628099173554,0.2644628099173554
pdtbX,LogisticRegression(),0.4214876033057851,0.21487603305785125,0.21487603305785125,0.21487603305785125
uniX_biX,LinearSVC(),0.6363636363636364,0.2892561983471074,0.2892561983471074,0.2892561983471074
uniX_biX,DecisionTreeClassifier(),0.6033057851239669,0.24793388429752067,0.24793388429752067,0.24793388429752067
uniX_biX,LogisticRegression(),0.6363636363636364,0.2809917355371901,0.2809917355371901,0.2809917355371901
uniX_behavFeatures,LinearSVC(),0.7024793388429752,0.33884297520661155,0.33884297520661155,0.33884297520661155
uniX_behavFeatures,DecisionTreeClassifier(),0.6363636363636364,0.33884297520661155,0.33884297520661155,0.33884297520661155
uniX_behavFeatures,LogisticRegression(),0.6859504132231405,0.32231404958677684,0.32231404958677684,0.32231404958677684
uniX_rstX,LinearSVC(),0.7024793388429752,0.3305785123966942,0.3305785123966942,0.3305785123966942
uniX_rstX,DecisionTreeClassifier(),0.5950413223140496,0.2396694214876033,0.2396694214876033,0.2396694214876033
uniX_rstX,LogisticRegression(),0.6446280991735537,0.2892561983471074,0.2892561983471074,0.2892561983471074
uniX_pdtbX,LinearSVC(),0.6776859504132231,0.32231404958677684,0.32231404958677684,0.32231404958677684
uniX_pdtbX,DecisionTreeClassifier(),0.6446280991735537,0.256198347107438,0.256198347107438,0.256198347107438
uniX_pdtbX,LogisticRegression(),0.6115702479338843,0.2975206611570248,0.2975206611570248,0.2975206611570248
biX_behavFeatures,LinearSVC(),0.8016528925619835,0.38016528925619836,0.38016528925619836,0.38016528925619836
biX_behavFeatures,DecisionTreeClassifier(),0.6115702479338843,0.2727272727272727,0.2727272727272727,0.2727272727272727
biX_behavFeatures,LogisticRegression(),0.8264462809917356,0.38016528925619836,0.38016528925619836,0.38016528925619836
biX_rstX,LinearSVC(),0.6611570247933884,0.2809917355371901,0.2809917355371901,0.2809917355371901
biX_rstX,DecisionTreeClassifier(),0.49586776859504134,0.14049586776859505,0.14049586776859505,0.14049586776859505
biX_rstX,LogisticRegression(),0.6446280991735537,0.2644628099173554,0.2644628099173554,0.2644628099173554
biX_pdtbX,LinearSVC(),0.6611570247933884,0.2892561983471074,0.2892561983471074,0.2892561983471074
biX_pdtbX,DecisionTreeClassifier(),0.5206611570247934,0.12396694214876033,0.12396694214876033,0.12396694214876033
biX_pdtbX,LogisticRegression(),0.6363636363636364,0.256198347107438,0.256198347107438,0.256198347107438
behavFeatures_rstX,LinearSVC(),0.7272727272727273,0.36363636363636365,0.36363636363636365,0.36363636363636365
behavFeatures_rstX,DecisionTreeClassifier(),0.743801652892562,0.35537190082644626,0.35537190082644626,0.35537190082644626
behavFeatures_rstX,LogisticRegression(),0.743801652892562,0.38016528925619836,0.38016528925619836,0.38016528925619836
behavFeatures_pdtbX,LinearSVC(),0.743801652892562,0.39669421487603307,0.39669421487603307,0.39669421487603307
behavFeatures_pdtbX,DecisionTreeClassifier(),0.7520661157024794,0.38016528925619836,0.38016528925619836,0.38016528925619836
behavFeatures_pdtbX,LogisticRegression(),0.7603305785123967,0.39669421487603307,0.39669421487603307,0.39669421487603307
rstX_pdtbX,LinearSVC(),0.512396694214876,0.21487603305785125,0.21487603305785125,0.21487603305785125
rstX_pdtbX,DecisionTreeClassifier(),0.4297520661157025,0.19008264462809918,0.19008264462809918,0.19008264462809918
rstX_pdtbX,LogisticRegression(),0.5289256198347108,0.2396694214876033,0.2396694214876033,0.2396694214876033
uniX_biX_behavFeatures,LinearSVC(),0.7107438016528925,0.33884297520661155,0.33884297520661155,0.33884297520661155
uniX_biX_behavFeatures,DecisionTreeClassifier(),0.6528925619834711,0.34710743801652894,0.34710743801652894,0.34710743801652894
uniX_biX_behavFeatures,LogisticRegression(),0.7024793388429752,0.3305785123966942,0.3305785123966942,0.3305785123966942
uniX_biX_rstX,LinearSVC(),0.6363636363636364,0.2892561983471074,0.2892561983471074,0.2892561983471074
uniX_biX_rstX,DecisionTreeClassifier(),0.5702479338842975,0.19008264462809918,0.19008264462809918,0.19008264462809918
uniX_biX_rstX,LogisticRegression(),0.6363636363636364,0.2809917355371901,0.2809917355371901,0.2809917355371901
uniX_biX_pdtbX,LinearSVC(),0.6611570247933884,0.3140495867768595,0.3140495867768595,0.3140495867768595
uniX_biX_pdtbX,DecisionTreeClassifier(),0.6198347107438017,0.23140495867768596,0.23140495867768596,0.23140495867768596
uniX_biX_pdtbX,LogisticRegression(),0.6611570247933884,0.2975206611570248,0.2975206611570248,0.2975206611570248
uniX_behavFeatures_rstX,LinearSVC(),0.7024793388429752,0.3305785123966942,0.3305785123966942,0.3305785123966942
uniX_behavFeatures_rstX,DecisionTreeClassifier(),0.6859504132231405,0.36363636363636365,0.36363636363636365,0.36363636363636365
uniX_behavFeatures_rstX,LogisticRegression(),0.6859504132231405,0.32231404958677684,0.32231404958677684,0.32231404958677684
uniX_behavFeatures_pdtbX,LinearSVC(),0.7107438016528925,0.35537190082644626,0.35537190082644626,0.35537190082644626
uniX_behavFeatures_pdtbX,DecisionTreeClassifier(),0.6776859504132231,0.35537190082644626,0.35537190082644626,0.35537190082644626
uniX_behavFeatures_pdtbX,LogisticRegression(),0.6942148760330579,0.3305785123966942,0.3305785123966942,0.3305785123966942
uniX_rstX_pdtbX,LinearSVC(),0.6776859504132231,0.3305785123966942,0.3305785123966942,0.3305785123966942
uniX_rstX_pdtbX,DecisionTreeClassifier(),0.5619834710743802,0.2231404958677686,0.2231404958677686,0.2231404958677686
uniX_rstX_pdtbX,LogisticRegression(),0.6033057851239669,0.2892561983471074,0.2892561983471074,0.2892561983471074
biX_behavFeatures_rstX,LinearSVC(),0.7933884297520661,0.38016528925619836,0.38016528925619836,0.38016528925619836
biX_behavFeatures_rstX,DecisionTreeClassifier(),0.6198347107438017,0.2892561983471074,0.2892561983471074,0.2892561983471074
biX_behavFeatures_rstX,LogisticRegression(),0.8099173553719008,0.371900826446281,0.371900826446281,0.371900826446281
biX_behavFeatures_pdtbX,LinearSVC(),0.768595041322314,0.371900826446281,0.371900826446281,0.371900826446281
biX_behavFeatures_pdtbX,DecisionTreeClassifier(),0.6611570247933884,0.3140495867768595,0.3140495867768595,0.3140495867768595
biX_behavFeatures_pdtbX,LogisticRegression(),0.7851239669421488,0.38016528925619836,0.38016528925619836,0.38016528925619836
biX_rstX_pdtbX,LinearSVC(),0.6611570247933884,0.2975206611570248,0.2975206611570248,0.2975206611570248
biX_rstX_pdtbX,DecisionTreeClassifier(),0.48760330578512395,0.11570247933884298,0.11570247933884298,0.11570247933884298
biX_rstX_pdtbX,LogisticRegression(),0.6115702479338843,0.256198347107438,0.256198347107438,0.256198347107438
behavFeatures_rstX_pdtbX,LinearSVC(),0.71900826446281,0.34710743801652894,0.34710743801652894,0.34710743801652894
behavFeatures_rstX_pdtbX,DecisionTreeClassifier(),0.71900826446281,0.36363636363636365,0.36363636363636365,0.36363636363636365
behavFeatures_rstX_pdtbX,LogisticRegression(),0.768595041322314,0.39669421487603307,0.39669421487603307,0.39669421487603307
uniX_biX_behavFeatures_rstX,LinearSVC(),0.7024793388429752,0.3305785123966942,0.3305785123966942,0.3305785123966942
uniX_biX_behavFeatures_rstX,DecisionTreeClassifier(),0.6363636363636364,0.3305785123966942,0.3305785123966942,0.3305785123966942
uniX_biX_behavFeatures_rstX,LogisticRegression(),0.6776859504132231,0.30578512396694213,0.30578512396694213,0.30578512396694213
uniX_biX_behavFeatures_pdtbX,LinearSVC(),0.6776859504132231,0.3140495867768595,0.3140495867768595,0.3140495867768595
uniX_biX_behavFeatures_pdtbX,DecisionTreeClassifier(),0.6363636363636364,0.3305785123966942,0.3305785123966942,0.3305785123966942
uniX_biX_behavFeatures_pdtbX,LogisticRegression(),0.7024793388429752,0.3305785123966942,0.3305785123966942,0.3305785123966942
uniX_biX_rstX_pdtbX,LinearSVC(),0.6611570247933884,0.3140495867768595,0.3140495867768595,0.3140495867768595
uniX_biX_rstX_pdtbX,DecisionTreeClassifier(),0.6198347107438017,0.2396694214876033,0.2396694214876033,0.2396694214876033
uniX_biX_rstX_pdtbX,LogisticRegression(),0.6446280991735537,0.2892561983471074,0.2892561983471074,0.2892561983471074
uniX_behavFeatures_rstX_pdtbX,LinearSVC(),0.71900826446281,0.34710743801652894,0.34710743801652894,0.34710743801652894
uniX_behavFeatures_rstX_pdtbX,DecisionTreeClassifier(),0.6859504132231405,0.36363636363636365,0.36363636363636365,0.36363636363636365
uniX_behavFeatures_rstX_pdtbX,LogisticRegression(),0.6776859504132231,0.3140495867768595,0.3140495867768595,0.3140495867768595
biX_behavFeatures_rstX_pdtbX,LinearSVC(),0.7768595041322314,0.38016528925619836,0.38016528925619836,0.38016528925619836
biX_behavFeatures_rstX_pdtbX,DecisionTreeClassifier(),0.6446280991735537,0.2975206611570248,0.2975206611570248,0.2975206611570248
biX_behavFeatures_rstX_pdtbX,LogisticRegression(),0.7768595041322314,0.371900826446281,0.371900826446281,0.371900826446281
uniX_biX_behavFeatures_rstX_pdtbX,LinearSVC(),0.6776859504132231,0.3140495867768595,0.3140495867768595,0.3140495867768595
uniX_biX_behavFeatures_rstX_pdtbX,DecisionTreeClassifier(),0.6363636363636364,0.3305785123966942,0.3305785123966942,0.3305785123966942
uniX_biX_behavFeatures_rstX_pdtbX,LogisticRegression(),0.6942148760330579,0.32231404958677684,0.32231404958677684,0.32231404958677684
